Time,Heart Rate,Respiration Rate,Location
203,58,11,"[-60, 90]"
204,51,10,"[98, 36]"
205,59,10,"[-62, -44]"
206,53,11,"[84, -66]"
207,50,11,"[-21, -77]"
208,60,10,"[-42, -6]"
209,58,10,"[-98, 53]"
210,53,10,"[-77, -13]"
211,52,12,"[-45, -30]"
212,55,12,"[94, -52]"
213,65,10,"[-13, -43]"
214,61,12,"[67, 9]"
215,60,12,"[18, -11]"
216,65,11,"[-62, -3]"
217,57,12,"[77, 84]"
218,61,10,"[-71, -72]"
219,53,10,"[-63, -47]"
220,52,12,"[54, 51]"
221,52,10,"[23, -43]"
222,53,12,"[74, -40]"
223,57,11,"[-60, 16]"
224,62,10,"[31, -70]"
225,62,11,"[-35, 75]"
226,61,10,"[-80, 24]"
227,51,12,"[-45, -4]"
228,60,11,"[16, 55]"
229,52,12,"[-77, 92]"
230,52,12,"[-55, 97]"
231,58,11,"[-34, -63]"
232,64,11,"[-61, -41]"
233,63,10,"[-66, -66]"
234,52,10,"[-26, 98]"
235,53,12,"[78, -40]"
236,51,10,"[-88, 20]"
237,61,12,"[59, 36]"
238,52,10,"[22, 62]"
239,60,11,"[14, -56]"
240,59,10,"[18, 85]"
241,62,11,"[85, 9]"
242,56,12,"[8, 52]"
243,51,12,"[-29, 31]"
244,53,10,"[19, -84]"
245,52,12,"[-85, -18]"
246,57,12,"[3, -42]"
247,56,12,"[0, -81]"
248,58,12,"[-44, 28]"
249,62,11,"[68, 62]"
250,55,12,"[34, -66]"
251,51,11,"[-64, 22]"
252,56,12,"[3, 95]"
253,63,11,"[-92, 36]"
254,52,11,"[-60, -47]"
255,64,12,"[21, 16]"
256,64,12,"[97, -3]"
257,61,12,"[-72, 37]"
258,52,10,"[58, -45]"
259,51,12,"[74, -10]"
260,53,12,"[32, -9]"
261,55,10,"[-56, -72]"
262,65,12,"[-8, 58]"
263,59,12,"[36, 100]"
264,63,12,"[-73, 13]"
265,55,12,"[47, 39]"
266,55,10,"[-3, 78]"
267,59,12,"[18, 63]"
268,50,11,"[-33, -74]"
269,52,11,"[33, 15]"
270,64,12,"[-64, 12]"
271,61,12,"[34, -51]"
272,62,12,"[-73, -40]"
273,53,11,"[-82, -65]"
274,52,11,"[-39, 96]"
275,56,10,"[-65, -93]"
276,55,11,"[63, -94]"
277,65,11,"[46, 51]"
278,62,11,"[50, -16]"
279,56,11,"[-8, 29]"
280,51,11,"[62, -29]"
281,57,12,"[78, 59]"
282,57,10,"[65, -41]"
283,56,11,"[94, 78]"
284,65,12,"[35, 1]"
285,53,12,"[-62, 55]"
286,59,12,"[-92, -87]"
287,55,12,"[20, 16]"
288,61,10,"[96, -19]"
289,65,10,"[88, -61]"
290,56,12,"[34, -17]"
291,58,10,"[-75, -51]"
292,58,12,"[-52, 79]"
293,61,10,"[25, 40]"
294,59,10,"[-38, -71]"
295,52,12,"[-100, -86]"
296,59,11,"[3, -73]"
297,63,11,"[52, 3]"
298,65,12,"[98, -74]"
299,63,11,"[-46, -9]"
300,55,10,"[-75, -95]"
301,52,10,"[-67, -2]"
302,65,12,"[68, 94]"
303,57,12,"[-83, 68]"
304,65,12,"[-96, 75]"
305,64,11,"[-47, 68]"
306,53,12,"[-10, -78]"
307,51,12,"[-29, -74]"
308,51,10,"[-21, -27]"
309,51,10,"[-74, 35]"
310,54,11,"[86, 64]"
311,58,11,"[15, 76]"
312,57,11,"[21, -15]"
313,60,11,"[-67, 15]"
314,54,10,"[61, -71]"
315,65,11,"[-41, 25]"
316,58,10,"[4, -74]"
317,50,10,"[43, -18]"
318,65,11,"[-21, -56]"
319,57,10,"[-64, -78]"
320,52,11,"[-59, 52]"
321,65,10,"[93, -58]"
322,53,12,"[-80, 5]"
323,60,11,"[11, 18]"
324,54,11,"[22, 31]"
325,55,10,"[-1, -70]"
326,51,12,"[55, -67]"
327,59,11,"[50, 74]"
328,57,11,"[-18, -93]"
329,53,10,"[59, -68]"
330,64,12,"[38, 6]"
331,50,11,"[-46, -44]"
332,56,11,"[-19, 27]"
333,52,12,"[-81, -41]"
334,54,11,"[46, -49]"
335,52,10,"[32, -7]"
336,55,11,"[-44, -32]"
337,56,10,"[100, 14]"
338,59,11,"[39, -5]"
339,52,12,"[-71, -61]"
340,61,10,"[98, -1]"
341,57,10,"[-77, -69]"
342,51,12,"[-38, -68]"
343,64,12,"[-90, 45]"
344,60,10,"[-50, -60]"
345,64,11,"[3, -79]"
346,61,10,"[-58, -24]"
347,53,10,"[-56, 75]"
348,58,11,"[-23, -56]"
349,52,12,"[-23, -46]"
350,61,12,"[40, 3]"
351,61,11,"[88, 52]"
352,59,10,"[4, 94]"
353,59,10,"[81, 62]"
354,53,10,"[59, -34]"
355,60,10,"[-97, 8]"
356,57,12,"[3, 52]"
357,60,10,"[37, 85]"
358,54,10,"[-11, -13]"
359,58,11,"[62, -46]"
360,61,11,"[-71, -36]"
361,57,10,"[30, 82]"
362,60,11,"[-25, 19]"
363,63,10,"[-84, 99]"
364,56,11,"[9, -13]"
365,59,11,"[32, 99]"
366,56,12,"[23, 93]"
367,59,12,"[-61, 100]"
368,54,11,"[9, -35]"
369,58,10,"[-91, -39]"
370,51,12,"[60, 10]"
371,51,12,"[92, 91]"
372,53,11,"[-16, 76]"
373,59,12,"[-29, 10]"
374,52,11,"[-16, -22]"
375,51,10,"[-16, -62]"
376,59,12,"[-55, -93]"
377,62,10,"[-46, 19]"
378,51,12,"[-8, 23]"
379,55,10,"[38, 94]"
380,52,12,"[-63, 89]"
381,63,12,"[66, 99]"
382,61,11,"[-3, -25]"
383,63,10,"[-58, -18]"
384,53,10,"[19, -94]"
385,62,11,"[82, 30]"
386,63,11,"[4, 52]"
387,58,10,"[-31, 19]"
388,62,11,"[45, -7]"
389,57,11,"[-56, -83]"
390,59,10,"[-33, -17]"
391,55,11,"[40, 68]"
392,52,11,"[72, 89]"
393,55,12,"[87, 7]"
394,62,10,"[-13, 27]"
395,55,11,"[30, 45]"
396,52,10,"[12, -84]"
397,53,10,"[17, 45]"
398,57,10,"[-72, -13]"
399,50,10,"[48, -24]"
400,61,10,"[59, 89]"
401,53,10,"[-62, -82]"
402,50,12,"[-97, 56]"
403,53,10,"[-54, -53]"
404,60,10,"[4, 56]"
405,50,10,"[-50, 78]"
406,61,11,"[26, 24]"
407,63,12,"[-99, -86]"
408,64,10,"[-60, 42]"
409,61,12,"[88, -92]"
410,51,10,"[-73, -67]"
411,56,12,"[-51, 26]"
412,65,11,"[23, -46]"
413,57,12,"[-15, 22]"
414,63,10,"[-75, 76]"
415,52,11,"[57, 71]"
416,54,11,"[-2, 85]"
417,54,11,"[53, 58]"
418,65,11,"[15, -42]"
419,50,12,"[72, -73]"
420,51,10,"[-30, -38]"
421,54,12,"[90, -41]"
422,53,12,"[-40, 74]"
423,65,12,"[6, 83]"
424,58,12,"[-69, 52]"
425,51,11,"[-77, 23]"
426,50,12,"[-81, 95]"
427,59,10,"[80, 84]"
428,60,12,"[-40, -88]"
429,50,11,"[-20, 6]"
430,54,12,"[-95, 74]"
431,55,12,"[83, -66]"
432,57,10,"[93, -63]"
433,50,11,"[65, -9]"
434,50,10,"[32, 4]"
435,58,12,"[66, -44]"
436,61,12,"[4, 76]"
437,64,11,"[-34, -25]"
438,60,11,"[-6, 57]"
439,62,10,"[68, 37]"
440,62,11,"[-83, -31]"
441,51,10,"[-89, -47]"
442,55,11,"[92, -9]"
443,62,11,"[-99, 11]"
444,53,10,"[-61, 34]"
445,59,10,"[4, -94]"
446,51,10,"[-91, -77]"
447,55,10,"[-97, 10]"
448,62,12,"[34, -4]"
449,55,11,"[74, -93]"
450,53,10,"[-16, -63]"
451,53,11,"[-68, -92]"
452,56,12,"[-25, 38]"
453,58,11,"[32, -43]"
454,55,12,"[54, -43]"
455,51,12,"[-45, -15]"
456,51,10,"[-93, 89]"
457,61,12,"[93, -33]"
458,52,10,"[-34, -22]"
459,58,12,"[27, -80]"
460,53,11,"[47, 62]"
461,56,11,"[56, 58]"
462,60,12,"[-94, -21]"
463,63,11,"[-56, -39]"
464,54,11,"[-98, -27]"
465,55,12,"[56, -35]"
466,63,12,"[-39, -19]"
467,63,12,"[-38, 44]"
468,63,12,"[-70, 31]"
469,62,10,"[-20, -94]"
470,56,10,"[-53, 84]"
471,59,11,"[-71, -8]"
472,60,10,"[60, 74]"
473,61,11,"[62, 19]"
474,54,11,"[42, -36]"
475,54,12,"[33, 26]"
476,63,10,"[-97, -49]"
477,57,12,"[-60, 0]"
478,54,10,"[67, -91]"
479,58,10,"[41, 73]"
480,57,10,"[20, -55]"
481,63,12,"[55, 7]"
482,50,11,"[93, -11]"
483,51,10,"[-58, 3]"
484,61,10,"[72, -38]"
485,60,10,"[35, 39]"
486,50,12,"[-50, 85]"
487,53,12,"[58, 80]"
488,61,11,"[-23, 71]"
489,56,12,"[84, 39]"
490,65,11,"[45, -81]"
491,50,11,"[49, 11]"
492,54,10,"[-55, 40]"
493,59,10,"[5, -95]"
494,54,11,"[48, 88]"
495,64,11,"[87, -29]"
496,64,12,"[96, -7]"
497,61,10,"[-19, -73]"
498,55,11,"[-93, -40]"
499,58,12,"[-5, -13]"
500,56,12,"[6, 99]"
501,54,11,"[59, 62]"
502,63,12,"[-13, -45]"
503,60,12,"[33, -99]"
504,55,11,"[84, 41]"
505,56,12,"[9, -80]"
506,58,10,"[32, 48]"
507,54,12,"[79, -20]"
508,54,10,"[44, 51]"
509,65,10,"[-82, 45]"
510,53,11,"[-15, 38]"
511,55,11,"[66, 41]"
512,64,10,"[-58, 71]"
513,51,12,"[-92, -62]"
514,53,12,"[20, -14]"
515,63,12,"[17, -87]"
516,64,12,"[-50, 96]"
517,52,11,"[90, -1]"
518,56,11,"[30, 1]"
519,54,11,"[22, 17]"
520,53,12,"[-70, 33]"
521,50,10,"[-65, 47]"
522,52,11,"[70, 70]"
523,53,11,"[83, 9]"
524,56,10,"[68, -25]"
525,57,11,"[73, 2]"
526,58,10,"[-90, 21]"
527,58,12,"[-30, -60]"
528,65,12,"[-92, -25]"
529,63,10,"[73, 46]"
530,65,11,"[-88, 52]"
531,56,12,"[-44, 83]"
532,52,10,"[-7, -52]"
533,57,12,"[-87, -24]"
534,54,10,"[-88, 62]"
535,57,10,"[-91, -58]"
536,59,12,"[37, -61]"
537,51,10,"[6, -33]"
538,61,12,"[40, 22]"
539,65,10,"[9, 16]"
540,53,12,"[-88, -62]"
541,55,11,"[-42, -11]"
542,55,10,"[100, -62]"
543,54,11,"[80, 5]"
544,52,10,"[-24, 58]"
545,58,12,"[-24, -34]"
546,64,11,"[-37, -82]"
547,52,12,"[70, -47]"
548,60,12,"[-23, -10]"
549,52,12,"[51, -79]"
550,54,11,"[-81, -57]"
551,59,10,"[-62, -68]"
552,52,12,"[-45, -37]"
553,65,11,"[-58, -14]"
554,63,11,"[60, -6]"
555,55,11,"[43, 67]"
556,64,11,"[-45, 66]"
557,60,12,"[42, 61]"
558,61,12,"[-95, 42]"
559,64,10,"[-54, -51]"
560,51,12,"[-76, -44]"
561,52,10,"[-93, 26]"
562,56,12,"[-48, 33]"
563,64,11,"[-4, 16]"
564,52,12,"[8, -1]"
565,63,12,"[-82, 90]"
566,50,11,"[-49, -22]"
567,52,11,"[53, -52]"
568,58,10,"[80, -65]"
569,52,12,"[71, 58]"
570,56,12,"[-46, 81]"
571,52,11,"[47, -34]"
572,54,10,"[-48, -18]"
573,62,12,"[-36, -69]"
574,62,11,"[-2, -92]"
575,63,11,"[94, 58]"
576,60,12,"[9, 31]"
577,64,11,"[9, 6]"
578,64,10,"[13, -40]"
579,55,12,"[6, -100]"
580,56,10,"[54, 62]"
581,55,10,"[-39, 74]"
582,57,11,"[96, -81]"
583,59,12,"[84, 35]"
584,63,12,"[-9, 83]"
585,58,10,"[14, -14]"
586,62,11,"[-94, -24]"
587,63,11,"[23, -7]"
588,51,11,"[90, -82]"
589,51,11,"[-85, 43]"
590,53,10,"[75, -60]"
591,57,10,"[-18, 33]"
592,57,11,"[79, 0]"
593,64,10,"[69, -55]"
594,56,10,"[-13, 70]"
595,59,10,"[-94, -16]"
596,63,11,"[14, -10]"
597,50,12,"[5, -71]"
598,64,11,"[8, 80]"
599,58,11,"[100, -89]"
600,61,11,"[-24, -17]"
601,64,12,"[-75, -37]"
602,62,11,"[26, 78]"
603,56,11,"[40, -48]"
604,58,10,"[-6, 40]"
605,54,12,"[-61, 100]"
606,57,12,"[5, -25]"
607,58,11,"[69, -67]"
608,51,11,"[-90, 15]"
609,60,10,"[-14, -4]"
610,55,12,"[-66, -100]"
611,59,11,"[44, -1]"
612,51,11,"[6, 19]"
613,51,10,"[68, -60]"
614,50,11,"[-88, -96]"
615,58,11,"[-18, 2]"
616,63,11,"[43, -46]"
617,53,10,"[-100, -78]"
618,57,10,"[-21, -36]"
619,52,12,"[-91, 35]"
620,54,12,"[53, -46]"
621,65,12,"[95, -20]"
622,50,11,"[33, 73]"
623,52,12,"[-49, 50]"
624,59,11,"[-13, -19]"
625,50,11,"[53, 92]"
626,61,10,"[-74, -56]"
627,58,10,"[-45, 51]"
628,61,11,"[-76, 89]"
629,54,10,"[16, -76]"
630,56,10,"[100, -88]"
631,53,12,"[-31, 15]"
632,54,11,"[31, -43]"
633,52,11,"[16, -93]"
634,50,11,"[9, 68]"
635,53,12,"[-64, 86]"
636,60,10,"[12, -11]"
637,61,10,"[-50, -10]"
638,63,12,"[46, 75]"
639,62,11,"[27, 53]"
640,54,11,"[-21, -14]"
641,65,12,"[87, -23]"
642,58,12,"[-39, -18]"
643,50,11,"[-71, -26]"
644,52,12,"[58, 97]"
645,64,12,"[41, 64]"
646,63,10,"[-58, 72]"
647,61,11,"[-11, -85]"
648,59,12,"[96, 2]"
649,50,10,"[-88, -68]"
650,56,11,"[45, 42]"
651,57,12,"[-60, 54]"
652,63,11,"[-37, -59]"
653,64,11,"[56, 16]"
654,54,11,"[93, 14]"
655,50,12,"[75, -79]"
656,53,10,"[17, -55]"
657,64,12,"[-16, -63]"
658,56,11,"[21, -26]"
659,51,10,"[8, -20]"
660,58,10,"[39, -22]"
661,62,11,"[-32, -20]"
662,58,10,"[44, -32]"
663,53,11,"[33, 15]"
664,50,10,"[43, 83]"
665,52,11,"[-18, -52]"
666,62,12,"[45, -9]"
667,64,10,"[-64, -53]"
668,53,10,"[-9, 79]"
669,53,12,"[8, -99]"
670,54,10,"[14, -71]"
671,51,10,"[-7, -33]"
672,64,12,"[20, 14]"
673,59,11,"[39, 16]"
674,55,12,"[15, -56]"
675,62,10,"[-21, -44]"
676,62,10,"[73, -99]"
677,57,12,"[-97, -54]"
678,57,12,"[-26, -32]"
679,58,12,"[35, 1]"
680,52,10,"[73, 68]"
681,62,12,"[-95, 94]"
682,55,10,"[-68, 42]"
683,63,10,"[36, 83]"
684,54,11,"[18, -21]"
685,61,12,"[-15, 64]"
686,60,10,"[-96, 87]"
687,61,11,"[33, -44]"
688,57,10,"[-3, 66]"
689,55,11,"[69, -58]"
690,65,12,"[-86, -76]"
691,62,12,"[28, 77]"
692,53,10,"[43, 34]"
693,62,10,"[58, 58]"
694,64,12,"[-36, -86]"
695,58,11,"[-91, -66]"
696,61,11,"[-86, 99]"
697,51,11,"[-53, 29]"
698,58,10,"[-96, 29]"
699,51,12,"[-26, -67]"
700,65,12,"[-66, -18]"
701,50,11,"[-84, -98]"
702,59,11,"[-58, -3]"
703,60,12,"[-88, -11]"
704,50,12,"[-15, -84]"
705,60,10,"[25, 97]"
706,60,11,"[48, -91]"
707,53,11,"[-18, -23]"
708,58,11,"[-53, -18]"
709,60,10,"[98, -95]"
710,62,12,"[42, -62]"
711,60,12,"[-33, -51]"
712,61,12,"[3, -52]"
713,51,10,"[-16, 87]"
714,59,11,"[96, 23]"
715,59,11,"[-25, 14]"
716,56,12,"[-36, -18]"
717,50,10,"[97, -39]"
718,53,11,"[39, 48]"
719,56,11,"[35, 77]"
720,61,12,"[-32, 11]"
721,50,12,"[-72, -55]"
722,64,12,"[55, 100]"
723,52,11,"[43, 69]"
724,52,11,"[-34, 25]"
725,64,12,"[-67, 15]"
726,51,10,"[-19, -73]"
727,53,10,"[-13, 71]"
728,62,10,"[-50, 12]"
729,51,12,"[-60, -39]"
730,57,12,"[83, 52]"
731,62,11,"[-68, -2]"
732,65,11,"[10, 64]"
733,60,10,"[-74, -64]"
734,51,10,"[33, 46]"
735,62,12,"[-1, 29]"
736,63,12,"[62, 48]"
737,61,11,"[43, -25]"
738,57,12,"[-83, 66]"
739,51,10,"[-74, 20]"
740,54,12,"[-17, 7]"
741,55,10,"[59, 95]"
742,59,10,"[29, 77]"
743,50,12,"[-21, -88]"
744,61,12,"[-58, 57]"
745,61,10,"[-49, -58]"
746,52,11,"[58, 89]"
747,55,10,"[-13, -28]"
748,57,12,"[-70, 51]"
749,57,12,"[-97, 25]"
750,65,12,"[-14, 95]"
751,64,10,"[-65, -26]"
752,57,10,"[42, 24]"
753,56,10,"[-75, 99]"
754,63,10,"[35, -14]"
755,63,12,"[0, -21]"
756,62,12,"[-70, 43]"
757,50,12,"[-76, 53]"
758,65,12,"[66, 92]"
759,60,11,"[-35, 62]"
760,64,10,"[36, -99]"
761,64,11,"[-73, -51]"
762,60,11,"[43, 48]"
763,57,11,"[-53, -6]"
764,50,10,"[-96, -32]"
765,50,10,"[-72, -86]"
766,57,11,"[-25, 36]"
767,61,10,"[22, 90]"
768,53,10,"[-94, 20]"
769,53,12,"[78, -81]"
770,54,11,"[1, -55]"
771,56,11,"[-63, 79]"
772,60,11,"[-23, 84]"
773,62,11,"[-9, 37]"
774,64,11,"[68, 2]"
775,50,12,"[-3, -91]"
776,62,12,"[-32, 21]"
777,60,11,"[-21, -78]"
778,59,10,"[86, -59]"
779,52,12,"[47, -86]"
780,55,12,"[-96, -93]"
781,65,12,"[77, -8]"
782,56,11,"[0, -2]"
783,52,12,"[91, 96]"
784,58,11,"[-39, 56]"
785,50,11,"[-6, 100]"
786,56,12,"[-33, 68]"
787,63,10,"[66, 21]"
788,51,11,"[100, -65]"
789,56,10,"[-83, -84]"
790,64,10,"[-66, -19]"
791,57,12,"[72, -83]"
792,61,11,"[-3, -37]"
793,54,11,"[32, 10]"
794,56,10,"[80, -60]"
795,54,12,"[-56, 17]"
796,58,11,"[86, 28]"
797,54,12,"[-75, 16]"
798,50,12,"[79, 32]"
799,50,12,"[2, -19]"
800,62,12,"[3, -74]"
801,50,12,"[-95, -18]"
802,55,12,"[14, -77]"
803,61,12,"[-61, 89]"
804,64,11,"[61, 79]"
805,52,12,"[-94, -97]"
806,53,10,"[-36, -14]"
807,59,12,"[58, -31]"
808,52,10,"[-88, -35]"
809,55,12,"[-85, -99]"
810,53,12,"[-98, -36]"
811,54,11,"[-35, -44]"
812,60,12,"[76, -7]"
813,52,10,"[71, 91]"
814,59,10,"[-11, -58]"
815,63,11,"[64, 69]"
816,61,11,"[17, 90]"
817,65,12,"[49, 95]"
818,64,11,"[82, -33]"
819,62,10,"[-56, 20]"
820,59,10,"[90, -83]"
821,63,10,"[90, 81]"
822,61,11,"[88, 26]"
823,62,11,"[78, -26]"
824,63,10,"[-8, -68]"
825,50,11,"[-51, -75]"
826,64,10,"[77, 88]"
827,55,10,"[-74, -1]"
828,56,10,"[-16, 48]"
829,53,11,"[19, 75]"
830,59,11,"[46, -79]"
831,56,11,"[25, -34]"
832,63,12,"[78, 13]"
833,57,12,"[65, -31]"
834,53,12,"[98, -92]"
835,64,11,"[-59, -86]"
836,55,11,"[-8, -82]"
837,61,12,"[46, 50]"
838,53,12,"[-42, -63]"
839,61,10,"[41, 1]"
840,51,11,"[-61, -9]"
841,57,10,"[-26, 19]"
842,51,10,"[-12, 49]"
843,59,10,"[-32, -84]"
844,50,11,"[-23, -58]"
845,54,10,"[96, 61]"
846,57,12,"[-25, 79]"
847,51,11,"[73, 5]"
848,53,10,"[-70, -60]"
849,65,11,"[-22, 19]"
850,54,12,"[9, -56]"
851,59,12,"[72, 71]"
852,64,12,"[-59, 71]"
853,53,11,"[58, -58]"
854,60,10,"[22, -94]"
855,52,10,"[6, -87]"
856,60,11,"[16, 0]"
857,54,11,"[-33, 90]"
858,59,12,"[42, 43]"
859,50,11,"[35, 24]"
860,50,11,"[26, -75]"
861,62,10,"[-10, -91]"
862,57,11,"[69, 65]"
863,60,10,"[8, -53]"
864,50,10,"[91, -68]"
865,57,11,"[20, 26]"
866,55,10,"[-80, -73]"
867,55,12,"[18, -78]"
868,51,11,"[-47, 22]"
869,50,12,"[-99, 100]"
870,52,11,"[96, 34]"
871,50,12,"[-39, 93]"
872,65,11,"[-44, 27]"
873,53,12,"[58, -99]"
874,51,12,"[67, 49]"
875,51,10,"[39, -62]"
876,65,10,"[56, -32]"
877,54,11,"[-8, 5]"
878,62,12,"[99, 94]"
879,65,12,"[-4, -95]"
880,65,10,"[-65, 17]"
881,58,12,"[-14, 43]"
882,57,12,"[62, 92]"
883,65,12,"[87, 35]"
884,65,11,"[10, 83]"
885,61,11,"[8, -76]"
886,58,11,"[-90, 17]"
887,65,10,"[38, -64]"
888,58,11,"[-53, -52]"
889,56,10,"[-52, 5]"
890,62,11,"[-96, -31]"
891,58,12,"[59, -40]"
892,65,10,"[39, -60]"
893,56,10,"[13, 1]"
894,54,12,"[-25, 34]"
895,54,10,"[-86, -42]"
896,59,11,"[-85, 22]"
897,53,11,"[-48, 87]"
898,54,10,"[87, -50]"
899,53,11,"[82, -85]"
